Time,Name,Latitude,Longitude,Temperature,Precipitation,WindSpeed,WindDirection
2025-08-01 09:00:00,札幌,43.0642,141.3469,22.4,0.0,3.2,270
2025-08-01 09:00:00,旭川,43.7706,142.3650,21.1,0.0,2.5,250
2025-08-01 09:00:00,函館,41.7687,140.7288,23.5,0.2,4.0,260
2025-08-01 09:00:00,青森,40.8246,140.7400,24.2,0.0,3.8,240
2025-08-01 09:00:00,秋田,39.7186,140.1024,26.0,0.0,4.5,230
2025-08-01 09:00:00,盛岡,39.7036,141.1527,25.1,0.0,2.8,220
2025-08-01 09:00:00,仙台,38.2682,140.8694,27.3,0.0,5.1,210
2025-08-01 09:00:00,山形,38.2404,140.3633,28.1,0.0,2.2,200
2025-08-01 09:00:00,福島,37.7503,140.4676,29.0,0.1,3.0,210
2025-08-01 09:00:00,水戸,36.3659,140.4712,30.2,0.0,4.2,220
2025-08-01 09:00:00,宇都宮,36.5551,139.8828,31.5,0.0,2.8,200
2025-08-01 09:00:00,前橋,36.3912,139.0608,32.0,0.0,3.5,210
2025-08-01 09:00:00,さいたま,35.8617,139.6455,32.6,0.0,3.8,220
2025-08-01 09:00:00,千葉,35.6074,140.1065,31.4,0.0,5.2,230
2025-08-01 09:00:00,東京,35.6895,139.6917,33.1,1.2,6.0,240
2025-08-01 09:00:00,横浜,35.4437,139.6380,32.5,0.8,5.5,230
2025-08-01 09:00:00,新潟,37.9026,139.0232,29.8,0.0,4.8,250
2025-08-01 09:00:00,富山,36.6953,137.2113,30.1,0.0,3.0,240
2025-08-01 09:00:00,金沢,36.5613,136.6562,31.0,0.0,3.5,240
2025-08-01 09:00:00,福井,36.0652,136.2216,31.5,0.0,2.5,230
2025-08-01 09:00:00,長野,36.6513,138.1810,29.4,0.0,2.0,210
2025-08-01 09:00:00,甲府,35.6639,138.5683,33.8,0.0,2.1,220
2025-08-01 09:00:00,静岡,34.9756,138.3828,31.2,0.0,4.1,240
2025-08-01 09:00:00,名古屋,35.1815,136.9066,34.0,0.0,4.0,250
2025-08-01 09:00:00,岐阜,35.4233,136.7607,34.2,0.0,2.2,230
2025-08-01 09:00:00,津,34.7303,136.5086,32.0,0.0,3.8,240
2025-08-01 09:00:00,京都,35.0116,135.7681,33.5,0.0,2.5,220
2025-08-01 09:00:00,大阪,34.6937,135.5023,34.8,0.0,4.2,230
2025-08-01 09:00:00,神戸,34.6901,135.1955,33.1,0.0,5.0,240
2025-08-01 09:00:00,奈良,34.6851,135.8048,33.2,0.0,2.0,210
2025-08-01 09:00:00,和歌山,34.2260,135.1675,32.6,0.0,4.1,250
2025-08-01 09:00:00,鳥取,35.5011,134.2351,31.0,0.0,3.0,240
2025-08-01 09:00:00,松江,35.4723,133.0505,31.4,0.0,2.8,240
2025-08-01 09:00:00,岡山,34.6551,133.9195,33.6,0.0,3.5,230
2025-08-01 09:00:00,広島,34.3853,132.4553,33.0,0.2,3.8,220
2025-08-01 09:00:00,山口,34.1785,131.4737,31.8,1.0,4.0,210
2025-08-01 09:00:00,徳島,34.0703,134.5548,32.2,0.0,4.5,240
2025-08-01 09:00:00,高松,34.3401,134.0434,32.5,0.0,3.2,230
2025-08-01 09:00:00,松山,33.8392,132.7657,31.7,0.0,3.1,220
2025-08-01 09:00:00,高知,33.5597,133.5311,31.9,0.0,5.0,240
2025-08-01 09:00:00,福岡,33.5902,130.4017,33.1,4.5,6.2,220
2025-08-01 09:00:00,佐賀,33.2494,130.2988,32.8,2.0,3.5,210
2025-08-01 09:00:00,長崎,32.7503,129.8777,31.2,3.0,5.5,220
2025-08-01 09:00:00,熊本,32.8031,130.7079,33.5,1.2,3.2,210
2025-08-01 09:00:00,大分,33.2382,131.6126,32.0,0.0,3.8,220
2025-08-01 09:00:00,宮崎,31.9111,131.4239,31.8,0.5,5.5,230
2025-08-01 09:00:00,鹿児島,31.5966,130.5571,32.5,1.0,5.8,220
2025-08-01 09:00:00,那覇,26.2124,127.6792,33.8,12.0,8.5,180